 0.0000000000000E+00 -0.0000000000000E+00  7.1357982680768E-03  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00
 8.2122937016034E-04  6.6949983940725E-04  7.1357976957253E-03  5.8601239218993E-02  0.0000000000000E+00 -6.8978648915926E-04
 1.6424582820087E-03  1.3390007764006E-03  7.1357936892692E-03  1.1720221640856E-01  0.0000000000000E+00 -1.3795717994248E-03
 2.4636862772346E-03  2.0085026976409E-03  7.1357828146292E-03  1.7580256613561E-01  0.0000000000000E+00 -2.0693535042990E-03
 3.2849128975317E-03  2.6780041687770E-03  7.1357616377922E-03  2.3440181017002E-01  0.0000000000000E+00 -2.7591278163000E-03
 4.1061376846009E-03  3.3475024344536E-03  7.1357267248704E-03  2.9299935749722E-01  0.0000000000000E+00 -3.4488895870417E-03
 4.9273601801545E-03  4.0169934183406E-03  7.1356746421780E-03  3.5159450433738E-01  0.0000000000000E+00 -4.1386323073708E-03
 5.7485799259216E-03  4.6864717232009E-03  7.1356019563264E-03  4.1018643417201E-01  0.0000000000000E+00 -4.8283481075727E-03
 6.5697964636537E-03  5.3559306310076E-03  7.1355052343380E-03  4.6877421777916E-01  0.0000000000000E+00 -5.5180277576614E-03
 7.3910093351316E-03  6.0253621031268E-03  7.1353810437772E-03  5.2735681327822E-01  0.0000000000000E+00 -6.2076606677692E-03
 8.2122180821737E-03  6.6947567805782E-03  7.1352259529003E-03  5.8593306618540E-01  0.0000000000000E+00 -6.8972348886471E-03
 9.0334222466442E-03  7.3641039843883E-03  7.1350365308234E-03  6.4450170948078E-01  0.0000000000000E+00 -7.5867371122936E-03
 9.8546213704628E-03  8.0333917160491E-03  7.1348093477085E-03  7.0306136368821E-01  0.0000000000000E+00 -8.2761526727237E-03
 1.0675814995615E-02  8.7026066580976E-03  7.1345409749668E-03  7.6161053696887E-01  0.0000000000000E+00 -8.9654655468933E-03
 1.1497002664166E-02  9.3717341748276E-03  7.1342279854819E-03  8.2014762522967E-01  0.0000000000000E+00 -9.6546583557929E-03
 1.2318183918266E-02  1.0040758313150E-02  7.1338669538491E-03  8.7867091224743E-01  0.0000000000000E+00 -1.0343712365725E-02
 1.3139358300174E-02  1.0709661803614E-02  7.1334544566341E-03  9.3717856980995E-01  0.0000000000000E+00 -1.1032607489778E-02
 1.3960525352262E-02  1.1378426061603E-02  7.1329870726490E-03  9.9566865787488E-01  0.0000000000000E+00 -1.1721322289515E-02
 1.4781684617035E-02  1.2047031188719E-02  7.1324613832466E-03  1.0541391247475E+00  0.0000000000000E+00 -1.2409833976880E-02
 1.5602835637148E-02  1.2715455974367E-02  7.1318739726322E-03  1.1125878072785E+00  0.0000000000000E+00 -1.3098118416356E-02
 1.6423977955418E-02  1.3383677897562E-02  7.1312214281939E-03  1.1710124310823E+00  0.0000000000000E+00 -1.3786150127366E-02
 1.7245111114846E-02  1.4051673128957E-02  7.1305003408503E-03  1.2294106107781E+00  0.0000000000000E+00 -1.4473902286942E-02
 1.8066234658635E-02  1.4719416533119E-02  7.1297073054155E-03  1.2877798502527E+00  0.0000000000000E+00 -1.5161346732683E-02
 1.8887348130206E-02  1.5386881671058E-02  7.1288389209830E-03  1.3461175429480E+00  0.0000000000000E+00 -1.5848453966000E-02
 1.9708451073224E-02  1.6054040803031E-02  7.1278917913261E-03  1.4044209721734E+00  0.0000000000000E+00 -1.6535193155667E-02
 2.0529543031613E-02  1.6720864891621E-02  7.1268625253161E-03  1.4626873114435E+00  0.0000000000000E+00 -1.7221532141704E-02
 2.1350623549583E-02  1.7387323605120E-02  7.1257477373585E-03  1.5209136248433E+00  0.0000000000000E+00 -1.7907437439582E-02
 2.2171692171652E-02  1.8053385321215E-02  7.1245440478457E-03  1.5790968674206E+00  0.0000000000000E+00 -1.8592874244788E-02
 2.2992748442667E-02  1.8719017131002E-02  7.1232480836277E-03  1.6372338856074E+00  0.0000000000000E+00 -1.9277806437741E-02
 2.3813791907833E-02  1.9384184843327E-02  7.1218564784995E-03  1.6953214176709E+00  0.0000000000000E+00 -1.9962196589087E-02
 2.4634822112734E-02  2.0048852989485E-02  7.1203658737055E-03  1.7533560941952E+00  0.0000000000000E+00 -2.0646005965381E-02
 2.5455838603363E-02  2.0712984828272E-02  7.1187729184615E-03  1.8113344385944E+00  0.0000000000000E+00 -2.1329194535167E-02
 2.6276840926150E-02  2.1376542351412E-02  7.1170742704921E-03  1.8692528676580E+00  0.0000000000000E+00 -2.2011720975472E-02
 2.7097828627986E-02  2.2039486289371E-02  7.1152665965865E-03  1.9271076921298E+00  0.0000000000000E+00 -2.2693542678718E-02
 2.7918801256254E-02  2.2701776117568E-02  7.1133465731693E-03  1.9848951173207E+00  0.0000000000000E+00 -2.3374615760081E-02
 2.8739758358862E-02  2.3363370062993E-02  7.1113108868881E-03  2.0426112437569E+00  0.0000000000000E+00 -2.4054895065285E-02
 2.9560699484268E-02  2.4024225111251E-02  7.1091562352178E-03  2.1002520678636E+00  0.0000000000000E+00 -2.4734334178871E-02
 3.0381624181516E-02  2.4684297014036E-02  7.1068793270801E-03  2.1578134826853E+00  0.0000000000000E+00 -2.5412885432918E-02
 3.1202532000268E-02  2.5343540297047E-02  7.1044768834791E-03  2.2152912786444E+00  0.0000000000000E+00 -2.6090499916267E-02
 3.2023422490833E-02  2.6001908268371E-02  7.1019456381527E-03  2.2726811443367E+00  0.0000000000000E+00 -2.6767127484223E-02
 3.2844295204207E-02  2.6659353027317E-02  7.0992823382390E-03  2.3299786673676E+00  0.0000000000000E+00 -2.7442716768768E-02
