 0.0000000000000E+00  8.1524068018490E-01 -2.5255479392691E-03  8.8198231406419E-02  0.0000000000000E+00 -8.3994345256667E-01
 8.2122937016034E-04  8.1524157592806E-01 -2.2554830570998E-03  8.8198058832732E-02  0.0000000000000E+00 -8.3994296918431E-01
 1.6424582820087E-03  8.1524352589679E-01 -7.3303128900615E-03  8.8197463296854E-02  0.0000000000000E+00 -8.3994075944045E-01
 2.4636862772346E-03  8.1524498854040E-01 -1.5788333113767E-02  8.8196282099022E-02  0.0000000000000E+00 -8.3993523510172E-01
 3.2849128975317E-03  8.1524435527559E-01 -2.7629477816553E-02  8.8194345477161E-02  0.0000000000000E+00 -8.3992473893147E-01
 4.1061376846009E-03  8.1524001752027E-01 -4.2853625471802E-02  8.8191483689040E-02  0.0000000000000E+00 -8.3990761379355E-01
 4.9273601801545E-03  8.1523036672020E-01 -6.1460581031040E-02  8.8187527021749E-02  0.0000000000000E+00 -8.3988220271857E-01
 5.7485799259216E-03  8.1521379439241E-01 -8.3450058021284E-02  8.8182305802759E-02  0.0000000000000E+00 -8.3984684898757E-01
 6.5697964636537E-03  8.1518869218564E-01 -1.0882166064703E-01  8.8175650412542E-02  0.0000000000000E+00 -8.3979989623300E-01
 7.3910093351316E-03  8.1515345195745E-01 -1.3757486589809E-01  8.8167391298764E-02  0.0000000000000E+00 -8.3973968855702E-01
 8.2122180821737E-03  8.1510646586829E-01 -1.6970900566648E-01  8.8157358992041E-02  0.0000000000000E+00 -8.3966457066714E-01
 9.0334222466442E-03  8.1504612649236E-01 -2.0522324887366E-01  8.8145384123269E-02  0.0000000000000E+00 -8.3957288802921E-01
 9.8546213704628E-03  8.1497082694525E-01 -2.4411658361379E-01  8.8131297442498E-02  0.0000000000000E+00 -8.3946298703760E-01
 1.0675814995615E-02  8.1487896102854E-01 -2.8638779931050E-01  8.8114929839384E-02  0.0000000000000E+00 -8.3933321520272E-01
 1.1497002664166E-02  8.1476892339098E-01 -3.3203546889464E-01  8.8096112365184E-02  0.0000000000000E+00 -8.3918192135572E-01
 1.2318183918266E-02  8.1463910970663E-01 -3.8105793100739E-01  8.8074676256303E-02  0.0000000000000E+00 -8.3900745587042E-01
 1.3139358300174E-02  8.1448791686960E-01 -4.3345327222801E-01  8.8050452959391E-02  0.0000000000000E+00 -8.3880817090232E-01
 1.3960525352262E-02  8.1431374320564E-01 -4.8921930933393E-01  8.8023274157977E-02  0.0000000000000E+00 -8.3858242064478E-01
 1.4781684617035E-02  8.1411498870030E-01 -5.4835357159786E-01  8.7992971800640E-02  0.0000000000000E+00 -8.3832856160220E-01
 1.5602835637148E-02  8.1389005524372E-01 -6.1085328312413E-01  8.7959378130705E-02  0.0000000000000E+00 -8.3804495288015E-01
 1.6423977955418E-02  8.1363734689207E-01 -6.7671534522987E-01  8.7922325717458E-02  0.0000000000000E+00 -8.3772995649246E-01
 1.7245111114846E-02  8.1335527014547E-01 -7.4593631887952E-01  8.7881647488879E-02  0.0000000000000E+00 -8.3738193768506E-01
 1.8066234658635E-02  8.1304223424237E-01 -8.1851240717322E-01  8.7837176765874E-02  0.0000000000000E+00 -8.3699926527661E-01
 1.8887348130206E-02  8.1269665147030E-01 -8.9443943789920E-01  8.7788747297996E-02  0.0000000000000E+00 -8.3658031201569E-01
 1.9708451073224E-02  8.1231693749293E-01 -9.7371284615416E-01  8.7736193300654E-02  0.0000000000000E+00 -8.3612345495455E-01
 2.0529543031613E-02  8.1190151169336E-01 -1.0563276570356E+00  8.7679349493795E-02  0.0000000000000E+00 -8.3562707583925E-01
 2.1350623549583E-02  8.1144879753350E-01 -1.1422784684202E+00  8.7618051142033E-02  0.0000000000000E+00 -8.3508956151604E-01
 2.2171692171652E-02  8.1095722292941E-01 -1.2315594338273E+00  8.7552134096233E-02  0.0000000000000E+00 -8.3450930435386E-01
 2.2992748442667E-02  8.1042522064261E-01 -1.3241642453783E+00  8.7481434836519E-02  0.0000000000000E+00 -8.3388470268283E-01
 2.3813791907833E-02  8.0985122868704E-01 -1.4200861168604E+00  8.7405790516704E-02  0.0000000000000E+00 -8.3321416124848E-01
 2.4634822112734E-02  8.0923369075168E-01 -1.5193177668976E+00  8.7325039010107E-02  0.0000000000000E+00 -8.3249609168168E-01
 2.5455838603363E-02  8.0857105663859E-01 -1.6218514022455E+00  8.7239018956757E-02  0.0000000000000E+00 -8.3172891298388E-01
 2.6276840926150E-02  8.0786178271624E-01 -1.7276787012081E+00  8.7147569811961E-02  0.0000000000000E+00 -8.3091105202767E-01
 2.7097828627986E-02  8.0710433238799E-01 -1.8367907971928E+00  8.7050531896208E-02  0.0000000000000E+00 -8.3004094407226E-01
 2.7918801256254E-02  8.0629717657539E-01 -1.9491782624071E+00  8.6947746446398E-02  0.0000000000000E+00 -8.2911703329381E-01
 2.8739758358862E-02  8.0543879421624E-01 -2.0648310917111E+00  8.6839055668362E-02  0.0000000000000E+00 -8.2813777333012E-01
 2.9560699484268E-02  8.0452767277718E-01 -2.1837386866297E+00  8.6724302790673E-02  0.0000000000000E+00 -8.2710162783974E-01
 3.0381624181516E-02  8.0356230878043E-01 -2.3058898395371E+00  8.6603332119692E-02  0.0000000000000E+00 -8.2600707107494E-01
 3.1202532000268E-02  8.0254120834469E-01 -2.4312727180223E+00  8.6475989095842E-02  0.0000000000000E+00 -8.2485258846842E-01
 3.2023422490833E-02  8.0146288773962E-01 -2.5598748494461E+00  8.6342120351089E-02  0.0000000000000E+00 -8.2363667723334E-01
