0.0000000E+00 0.0000000E+00
1.5865965E-02 1.0101010E-02
3.1727932E-02 2.0202020E-02
4.7581919E-02 3.0303031E-02
6.3423924E-02 4.0404040E-02
7.9249956E-02 5.0505050E-02
9.5056050E-02 6.0606062E-02
0.1108382 7.0707068E-02
0.1265925 8.0808081E-02
0.1423149 9.0909094E-02
0.1580014 0.1010101
0.1736482 0.1111111
0.1892513 0.1212121
0.2048067 0.1313131
0.2203105 0.1414141
0.2357589 0.1515152
0.2511480 0.1616162
0.2664738 0.1717172
0.2817326 0.1818182
0.2969204 0.1919192
0.3120334 0.2020202
0.3270680 0.2121212
0.3420202 0.2222222
0.3568862 0.2323232
0.3716625 0.2424242
0.3863451 0.2525252
0.4009306 0.2626263
0.4154150 0.2727273
0.4297949 0.2828283
0.4440666 0.2929293
0.4582265 0.3030303
0.4722711 0.3131313
0.4861968 0.3232323
0.5000000 0.3333333
0.5136774 0.3434343
0.5272255 0.3535354
0.5406408 0.3636364
0.5539200 0.3737374
0.5670599 0.3838384
0.5800570 0.3939394
0.5929080 0.4040404
0.6056097 0.4141414
0.6181590 0.4242424
0.6305527 0.4343434
0.6427876 0.4444444
0.6548608 0.4545455
0.6667690 0.4646465
0.6785094 0.4747475
0.6900791 0.4848485
0.7014749 0.4949495
0.7126942 0.5050505
0.7237340 0.5151515
0.7345917 0.5252525
0.7452645 0.5353535
0.7557496 0.5454546
0.7660445 0.5555556
0.7761465 0.5656565
0.7860531 0.5757576
0.7957619 0.5858586
0.8052703 0.5959596
0.8145760 0.6060606
0.8236766 0.6161616
0.8325698 0.6262626
0.8412535 0.6363636
0.8497254 0.6464646
0.8579834 0.6565657
0.8660254 0.6666667
0.8738494 0.6767676
0.8814534 0.6868687
0.8888355 0.6969697
0.8959938 0.7070707
0.9029266 0.7171717
0.9096320 0.7272727
0.9161084 0.7373737
0.9223543 0.7474747
0.9283679 0.7575758
0.9341479 0.7676768
0.9396927 0.7777778
0.9450009 0.7878788
0.9500712 0.7979798
0.9549022 0.8080808
0.9594930 0.8181818
0.9638422 0.8282828
0.9679487 0.8383839
0.9718116 0.8484849
0.9754298 0.8585858
0.9788024 0.8686869
0.9819287 0.8787879
0.9848078 0.8888889
0.9874389 0.8989899
0.9898214 0.9090909
0.9919548 0.9191919
0.9938385 0.9292929
0.9954720 0.9393939
0.9968548 0.9494950
0.9979867 0.9595960
0.9988673 0.9696970
0.9994965 0.9797980
0.9998741 0.9898990
1.000000 1.000000
