           1        2001           5   28.284271247462364     
 0.0000000000000E+00  9.8518496544415E-01  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  1.0150378203845E+00
 1.4142135623731E-02  9.8518524035055E-01  4.7412113677602E-03  2.4062535947573E-05  0.0000000000000E+00  1.0150375371480E+00
 2.8284271247462E-02  9.8518606506980E-01  9.4824187585463E-03  9.6250001700722E-05  0.0000000000000E+00  1.0150366874395E+00
 4.2426406871193E-02  9.8518743960149E-01  1.4223616103842E-02  2.1656191888231E-04  0.0000000000000E+00  1.0150352712622E+00
 5.6568542494924E-02  9.8518936394360E-01  1.8964795053508E-02  3.8499738212536E-04  0.0000000000000E+00  1.0150332886229E+00
 7.0710678118655E-02  9.8519183809151E-01  2.3705944975897E-02  6.0155496645219E-04  0.0000000000000E+00  1.0150307395331E+00
 8.4852813742386E-02  9.8519486203687E-01  2.8447052958028E-02  8.6623263467105E-04  0.0000000000000E+00  1.0150276240099E+00
 9.8994949366117E-02  9.8519843576650E-01  3.3188103805838E-02  1.1790276447970E-03  0.0000000000000E+00  1.0150239420772E+00
 1.1313708498985E-01  9.8520255926133E-01  3.7929080044524E-02  1.5399364575048E-03  0.0000000000000E+00  1.0150196937671E+00
 1.2727922061358E-01  9.8520723249534E-01  4.2669961918978E-02  1.9489546436225E-03  0.0000000000000E+00  1.0150148791206E+00
 1.4142135623731E-01  9.8521245543440E-01  4.7410727394336E-02  2.4060767916743E-03  0.0000000000000E+00  1.0150094981890E+00
 1.5556349186104E-01  9.8521822803528E-01  5.2151352156652E-02  2.9112964154848E-03  0.0000000000000E+00  1.0150035510348E+00
 1.6970562748477E-01  9.8522455024448E-01  5.6891809613710E-02  3.4646058618533E-03  0.0000000000000E+00  1.0149970377330E+00
 1.8384776310850E-01  9.8523142199721E-01  6.1632070895973E-02  4.0659962183121E-03  0.0000000000000E+00  1.0149899583723E+00
 1.9798989873223E-01  9.8523884321628E-01  6.6372104857701E-02  4.7154572209804E-03  0.0000000000000E+00  1.0149823130557E+00
 2.1213203435596E-01  9.8524681381102E-01  7.1111878078240E-02  5.4129771625287E-03  0.0000000000000E+00  1.0149741019024E+00
 2.2627416997970E-01  9.8525533367620E-01  7.5851354863489E-02  6.1585428002661E-03  0.0000000000000E+00  1.0149653250481E+00
 2.4041630560343E-01  9.8526440269097E-01  8.0590497247567E-02  6.9521392643684E-03  0.0000000000000E+00  1.0149559826467E+00
 2.5455844122716E-01  9.8527402071775E-01  8.5329264994682E-02  7.7937499662609E-03  0.0000000000000E+00  1.0149460748712E+00
 2.6870057685089E-01  9.8528418760116E-01  9.0067615601228E-02  8.6833565071747E-03  0.0000000000000E+00  1.0149356019147E+00
 2.8284271247462E-01  9.8529490316699E-01  9.4805504298103E-02  9.6209385868925E-03  0.0000000000000E+00  1.0149245639917E+00
 2.9698484809835E-01  9.8530616722106E-01  9.9542884053274E-02  1.0606473912704E-02  0.0000000000000E+00  1.0149129613391E+00
 3.1112698372208E-01  9.8531797954818E-01  1.0427970557460E-01  1.1639938108592E-02  0.0000000000000E+00  1.0149007942173E+00
 3.2526911934581E-01  9.8533033991109E-01  1.0901591731291E-01  1.2721304624659E-02  0.0000000000000E+00  1.0148880629112E+00
 3.3941125496954E-01  9.8534324804939E-01  1.1375146546539E-01  1.3850544646840E-02  0.0000000000000E+00  1.0148747677316E+00
 3.5355339059327E-01  9.8535670367847E-01  1.1848629397918E-01  1.5027627006885E-02  0.0000000000000E+00  1.0148609090159E+00
 3.6769552621700E-01  9.8537070648842E-01  1.2322034455541E-01  1.6252518092678E-02  0.0000000000000E+00  1.0148464871294E+00
 3.8183766184074E-01  9.8538525614304E-01  1.2795355665339E-01  1.7525181758878E-02  0.0000000000000E+00  1.0148315024665E+00
 3.9597979746447E-01  9.8540035227872E-01  1.3268586749523E-01  1.8845579237926E-02  0.0000000000000E+00  1.0148159554515E+00
 4.1012193308820E-01  9.8541599450344E-01  1.3741721207078E-01  2.0213669051447E-02  0.0000000000000E+00  1.0147998465398E+00
 4.2426406871193E-01  9.8543218239568E-01  1.4214752314288E-01  2.1629406922050E-02  0.0000000000000E+00  1.0147831762191E+00
 4.3840620433566E-01  9.8544891550340E-01  1.4687673125298E-01  2.3092745685580E-02  0.0000000000000E+00  1.0147659450101E+00
 4.5254833995939E-01  9.8546619334301E-01  1.5160476472716E-01  2.4603635203830E-02  0.0000000000000E+00  1.0147481534680E+00
 4.6669047558312E-01  9.8548401539833E-01  1.5633154968250E-01  2.6162022277749E-02  0.0000000000000E+00  1.0147298021834E+00
 4.8083261120685E-01  9.8550238111954E-01  1.6105701003382E-01  2.7767850561168E-02  0.0000000000000E+00  1.0147108917829E+00
 4.9497474683058E-01  9.8552128992220E-01  1.6578106750089E-01  2.9421060475088E-02  0.0000000000000E+00  1.0146914229310E+00
 5.0911688245431E-01  9.8554074118621E-01  1.7050364161596E-01  3.1121589122539E-02  0.0000000000000E+00  1.0146713963305E+00
 5.2325901807805E-01  9.8556073425480E-01  1.7522464973180E-01  3.2869370204059E-02  0.0000000000000E+00  1.0146508127235E+00
 5.3740115370178E-01  9.8558126843352E-01  1.7994400703011E-01  3.4664333933814E-02  0.0000000000000E+00  1.0146296728928E+00
 5.5154328932551E-01  9.8560234298929E-01  1.8466162653041E-01  3.6506406956393E-02  0.0000000000000E+00  1.0146079776627E+00
 5.6568542494924E-01  9.8562395714934E-01  1.8937741909932E-01  3.8395512264314E-02  0.0000000000000E+00  1.0145857279000E+00
